bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Katmandou,2002,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,9,,75,75,,,,,,,,,,0,,,,,,jiqGWjXX1l,,,,,
,Jungle Gold Game,1940,,,Lee Falk,"name,id,url,num_games,score,game,images",2,4,,,,,6,,,,,,,,,,,,,0,,,,,,jirBUWtcIp,,,,,
,Plumage,,,,,"name,id,url,num_games,score,game,images",2,4,,,,,5,,,,,,,,,,,,,0,,,,,,jizvKt0UEt,,,,,
,Vicious Circle,2014,,,,"name,id,url,num_games,score,game,images",3,6,,,,,8,,10,10,,,,,,,,,,0,,,,,,jizwSXFGmk,,,,,
,Now or Never,2021,,"id,num_games,score,game,url,images",Ryan Laukat,"id,name,url,num_games,score,game,images",1,4,,,,,13,,90,180,"ODWOjWAJj3,ZTneo8TaIO,3B3QpKvXD3","UAV3t3FxVI,WPytek5P8l,8PN2HE86wg,XM2FYZmBHH",,,,,,,,0,,,,,,jj23UdD9w7,,,,,
,Tabletop 28mm Wargaming Terrain and Accessories,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,0,,,,,,jj5thgVFPE,,,,,
,Quebec,2011,,"id,num_games,score,game,url,images","Mariusz Gandzel,Nicolas Cloutier","name,id,url,num_games,score,game,images",2,5,,,,,13,,75,75,,"U3zhCQH7Et,fBOTEBUAmV",,,,,,,,19,2.8421052631578956,,,,,jj6PPG9WW8,,,,,
,Glow in the Dark Monster Math,2001,,"id,num_games,score,game,url,images",Zina Saunders,"name,id,url,num_games,score,game,images",1,4,,,,,7,,10,10,,,,,,,,,,0,,,,,,jj99ABMzBX,,,,,
,Virus!: Ladrón de Cerebros,2018,,"id,num_games,score,game,url,images",David GJ,"name,id,url,num_games,score,game,images",2,6,,,,,8,,20,20,,"iWODHwRGuU,lA3KUtVFCy,T8JEFYwoqy",,,,,,,,0,,,,,,jjDC9TkVPW,,,,,
,Tunisia 43,2000,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,12,,120,120,,,,,,,,,,0,,,,,,jjGt8sZ0YQ,,,,,
